genus,species,development,pq,pk,sq,sk,p_total
Glyptotermes,fuscus,incipient,1,1,0,0,2
Glyptotermes,fuscus,incipient,1,1,0,0,2
Glyptotermes,satsumensis,incipient,1,1,0,0,2
Glyptotermes,satsumensis,incipient,1,1,0,0,2
Glyptotermes,fuscus,incipient,1,1,0,0,2
Glyptotermes,satsumensis,incipient,1,1,0,0,2
Glyptotermes,satsumensis,incipient,1,1,0,0,2
Glyptotermes,fuscus,mature,0,1,1,0,1
Glyptotermes,fuscus,mature,2,2,0,0,4
Glyptotermes,fuscus,mature,2,1,0,0,3
Glyptotermes,fuscus,mature,2,2,0,0,4
Glyptotermes,fuscus,mature,2,2,0,0,4
Glyptotermes,fuscus,mature,9,8,0,0,17
Glyptotermes,fuscus,mature,2,1,0,0,3
Glyptotermes,fuscus,mature,1,1,0,0,2
Glyptotermes,fuscus,mature,1,1,0,0,2
Glyptotermes,fuscus,mature,2,1,0,0,3
Glyptotermes,fuscus,mature,3,3,0,0,6
Glyptotermes,fuscus,mature,1,1,0,0,2
Glyptotermes,fuscus,mature,10,10,0,0,20
Glyptotermes,fuscus,mature,1,1,0,0,2
Glyptotermes,fuscus,mature,1,1,0,0,2
Glyptotermes,satsumensis,mature,2,3,0,0,5
Glyptotermes,satsumensis,mature,1,1,0,0,2
Glyptotermes,satsumensis,mature,1,1,0,0,2
Glyptotermes,satsumensis,mature,1,1,0,0,2
Glyptotermes,satsumensis,mature,1,1,0,0,2
Glyptotermes,satsumensis,mature,1,1,0,0,2
Glyptotermes,satsumensis,mature,3,3,0,0,6
Glyptotermes,satsumensis,mature,2,2,0,0,4
Glyptotermes,satsumensis,mature,0,0,1,1,0
Glyptotermes,nakajimai_asex,incipient,25,0,0,0,25
Glyptotermes,nakajimai_asex,incipient,2,0,0,0,2
Glyptotermes,nakajimai_asex,incipient,6,0,0,0,6
Glyptotermes,nakajimai_asex,incipient,4,0,0,0,4
Glyptotermes,nakajimai_asex,mature,6,0,1,0,6
Glyptotermes,nakajimai_asex,mature,2,0,1,0,2
Glyptotermes,nakajimai_asex,mature,1,0,1,0,1
Glyptotermes,nakajimai_asex,mature,1,0,1,0,1
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,5,0,0,0,5
Glyptotermes,nakajimai_asex,mature,3,0,1,0,3
Glyptotermes,nakajimai_asex,mature,6,0,0,0,6
Glyptotermes,nakajimai_asex,mature,5,0,1,0,5
Glyptotermes,nakajimai_asex,mature,3,0,2,0,3
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,5,0,5,0,5
Glyptotermes,nakajimai_asex,mature,2,0,1,0,2
Glyptotermes,nakajimai_asex,mature,2,0,2,0,2
Glyptotermes,nakajimai_asex,mature,12,0,1,0,12
Glyptotermes,nakajimai_asex,mature,7,0,1,0,7
Glyptotermes,nakajimai_asex,mature,16,0,0,0,16
Glyptotermes,nakajimai_asex,mature,10,0,1,0,10
Glyptotermes,nakajimai_asex,mature,5,0,0,0,5
Glyptotermes,nakajimai_asex,mature,6,0,3,0,6
Glyptotermes,nakajimai_asex,mature,3,0,2,0,3
Glyptotermes,nakajimai_asex,mature,3,0,0,0,3
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,8,0,2,0,8
Glyptotermes,nakajimai_asex,mature,2,0,3,0,2
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,3,0,0,0,3
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,0,0,3,0,0
Glyptotermes,nakajimai_asex,mature,4,0,0,0,4
Glyptotermes,nakajimai_asex,mature,2,0,1,0,2
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,2,0,0,0,2
Glyptotermes,nakajimai_asex,mature,4,0,0,0,4
Glyptotermes,nakajimai_asex,mature,15,0,0,0,15
Glyptotermes,nakajimai_asex,mature,4,0,0,0,4
Glyptotermes,nakajimai_sex,mature,13,9,0,1,22
Glyptotermes,nakajimai_sex,mature,3,2,0,1,5
Glyptotermes,nakajimai_sex,mature,1,1,0,1,2
Glyptotermes,nakajimai_sex,mature,31,22,2,1,53
Glyptotermes,nakajimai_sex,mature,36,32,11,14,68
Glyptotermes,nakajimai_sex,mature,5,5,1,0,10
Glyptotermes,nakajimai_sex,mature,3,3,3,1,6
Glyptotermes,nakajimai_sex,mature,3,3,0,1,6
Glyptotermes,nakajimai_sex,mature,13,12,2,0,25
Glyptotermes,nakajimai_sex,mature,5,3,10,4,8
Glyptotermes,nakajimai_sex,mature,3,6,3,0,9
Glyptotermes,nakajimai_sex,mature,1,1,3,1,2
Glyptotermes,nakajimai_sex,mature,8,11,0,0,19
Glyptotermes,nakajimai_sex,mature,0,1,3,1,1
Glyptotermes,nakajimai_sex,mature,3,3,0,0,6
Glyptotermes,nakajimai_sex,mature,3,5,0,0,8
Glyptotermes,nakajimai_sex,mature,4,3,7,7,7
Glyptotermes,nakajimai_sex,mature,1,1,3,1,2
Glyptotermes,nakajimai_sex,mature,2,1,1,0,3
Glyptotermes,nakajimai_sex,mature,2,2,0,0,4
Glyptotermes,nakajimai_sex,mature,2,2,0,0,4
Glyptotermes,nakajimai_sex,mature,0,1,2,4,1
Glyptotermes,nakajimai_sex,mature,2,2,0,0,4
Glyptotermes,nakajimai_sex,mature,1,2,0,0,3
Glyptotermes,nakajimai_sex,mature,22,23,1,1,45
Glyptotermes,nakajimai_sex,mature,1,1,0,0,2
Glyptotermes,nakajimai_sex,mature,0,1,5,0,1
Glyptotermes,nakajimai_sex,mature,3,2,0,0,5
Glyptotermes,nakajimai_sex,mature,1,2,2,1,3
Glyptotermes,nakajimai_sex,mature,7,7,6,4,14
Glyptotermes,nakajimai_sex,mature,2,2,0,0,4
Glyptotermes,nakajimai_sex,mature,1,2,0,0,3
Glyptotermes,nakajimai_sex,mature,0,0,2,1,0
Glyptotermes,nakajimai_sex,mature,6,4,0,0,10
Glyptotermes,nakajimai_sex,mature,12,11,0,0,23
Glyptotermes,nakajimai_sex,mature,11,14,0,0,25
Glyptotermes,nakajimai_sex,mature,11,10,1,1,21
